"user_id","rank","track","artists","album","release_date","track_url","timeframe"
"12120382831",1,安靜,Jay Chou,范特西,"2001-09-14",https://open.spotify.com/track/4FOydQ5IdqmdeBgG9vFbPg,Short
"12120382831",2,With You (Jai Wolf Remix),Dirty South; FMLYBND,With You (The Remixes),"2015-04-28",https://open.spotify.com/track/5H2cgEPEJxA72Bqb4cLvrj,Short
"12120382831",1,安靜,Jay Chou,范特西,"2001-09-14",https://open.spotify.com/track/4FOydQ5IdqmdeBgG9vFbPg,Medium
"12120382831",2,With Me,Sum 41,Underclass Hero,"2007-01-01",https://open.spotify.com/track/1OTvWduKQV0MQd2gnGM9He,Medium
"12120382831",3,Wake Me up When September Ends,Green Day,American Idiot,"2004-09-21",https://open.spotify.com/track/3ZffCQKLFLUvYM59XKLbVm,Medium
"12120382831",4,Welcome to the Black Parade,My Chemical Romance,The Black Parade,"2006-10-23",https://open.spotify.com/track/5wQnmLuC1W7ATsArWACrgW,Medium
"12120382831",5,珊瑚海,Jay Chou; Lara Liang,"11月的蕭邦","2005-11-01",https://open.spotify.com/track/4JY5s40ymnG18f6wxQtzPw,Medium
"12120382831",6,Fix You,Coldplay,X&Y,"2005-06-07",https://open.spotify.com/track/7LVHVU3tWfcxj5aiPFEW4Q,Medium
"12120382831",7,Always,blink-182,Greatest Hits,"2005-10-31",https://open.spotify.com/track/4B7e9sBkcw1iWJ45GaUQWm,Medium
"12120382831",8,The Reason,Hoobastank,The Reason (15th Anniversary Deluxe),"2003-12-09",https://open.spotify.com/track/77loZpT5Y5PRP1S451P9Yz,Medium
"12120382831",9,明明就,Jay Chou,十二新作,"2012-12-28",https://open.spotify.com/track/04x6DpeFQ72efXsD0DmWPQ,Medium
"12120382831",10,How to Save a Life,The Fray,How To Save A Life,"2005-09-13",https://open.spotify.com/track/5fVZC9GiM4e8vu99W0Xf6J,Medium
"12120382831",11,I Miss You,blink-182,blink-182,"2003-11-01",https://open.spotify.com/track/1AdYZ6X00nXmO613Y7GJOl,Medium
"12120382831",12,算什麼男人,Jay Chou,哎呦 不錯哦,"2014-12-26",https://open.spotify.com/track/7vs3JM90lKhp11av83WA5j,Medium
"12120382831",13,I Don't Love You,My Chemical Romance,The Black Parade,"2006-10-23",https://open.spotify.com/track/4RAOI1etsgbh5NP3T5R8rN,Medium
"12120382831",14,Your Call,Secondhand Serenade,Awake,"2007",https://open.spotify.com/track/7ddJJFmXZ3984IbVEKinp5,Medium
"12120382831",15,Mr. Brightside,The Killers,Hot Fuss,"2004",https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B,Medium
"12120382831",16,退後,Jay Chou,依然范特西,"2006-09-05",https://open.spotify.com/track/1xYPMWVdl2yqOkQpjWPVbU,Medium
"12120382831",17,等你下課,Jay Chou; Gary Yang,等你下課,"2018-01-18",https://open.spotify.com/track/76WthWB0v0KXUHZoAclMVV,Medium
"12120382831",18,給我一首歌的時間,Jay Chou,魔杰座,"2008-11-09",https://open.spotify.com/track/1KlVJebZrrMSMxcEKOV5w5,Medium
"12120382831",19,告白氣球,Jay Chou,周杰倫的床邊故事,"2016-06-24",https://open.spotify.com/track/1ivCIgrYZyE0BvItL4Z8lk,Medium
"12120382831",20,Viva La Vida,Coldplay,Viva La Vida or Death and All His Friends,"2008-05-26",https://open.spotify.com/track/1mea3bSkSGXuIRvnydlB5b,Medium
"12120382831",21,青花瓷,Jay Chou,我很忙,"2008-03-10",https://open.spotify.com/track/479lquEL4Mzh3tQLtnHVfL,Medium
"12120382831",22,The Anthem,Good Charlotte,The Young and The Hopeless,"2002-10-04",https://open.spotify.com/track/0BRHnOFm6sjxN1i9LJrUDu,Medium
"12120382831",23,All The Small Things,blink-182,Enema Of The State,"1999-06-01",https://open.spotify.com/track/2m1hi0nfMR9vdGC8UcrnwU,Medium
"12120382831",24,彩虹,Jay Chou,我很忙,"2008-03-10",https://open.spotify.com/track/4KJx4IOvCU2isprmXio9Xk,Medium
"12120382831",25,Walking Disaster,Sum 41,Underclass Hero,"2007-01-01",https://open.spotify.com/track/7xuhVUJmBpHR276Yc7AsgW,Medium
"12120382831",26,Ocean Avenue,Yellowcard,Ocean Avenue,"2003-01-01",https://open.spotify.com/track/23oxJmDc1V9uLUSmN2LIvx,Medium
"12120382831",27,DARE,Gorillaz,Demon Days,"2005-05-23",https://open.spotify.com/track/4Hff1IjRbLGeLgFgxvHflk,Medium
"12120382831",28,千里之外,Jay Chou,依然范特西,"2006-09-05",https://open.spotify.com/track/02K5L2D21TVIINipDIPEfA,Medium
"12120382831",29,晴天,Jay Chou,葉惠美,"2003-07-31",https://open.spotify.com/track/0F02KChKwbcQ3tk4q1YxLH,Medium
"12120382831",30,Stay Together For The Kids,blink-182,Greatest Hits,"2005-10-31",https://open.spotify.com/track/5yRkOJ2PnUgAPlOf3FTOs2,Medium
"12120382831",31,First Date,blink-182,Take Off Your Pants And Jacket,"2001",https://open.spotify.com/track/1fJFuvU2ldmeAm5nFIHcPP,Medium
"12120382831",32,說好不哭,Jay Chou; 阿信,說好不哭,"2019-09-16",https://open.spotify.com/track/56wVfJKtnwlSZtC4NVgIrf,Medium
"12120382831",33,Teenagers,My Chemical Romance,The Black Parade,"2006-10-23",https://open.spotify.com/track/7j31rVgGX9Q2blT92VBEA0,Medium
"12120382831",34,開不了口,Jay Chou,范特西,"2001-09-14",https://open.spotify.com/track/0JB2nnrP35zVYnQcYpAnCb,Medium
"12120382831",35,After Midnight,blink-182,Neighborhoods (Deluxe Explicit Version),"2011-01-01",https://open.spotify.com/track/29bWDkf8qtCmsvDWOW55CJ,Medium
"12120382831",36,浪漫手機,Jay Chou,"11月的蕭邦","2005-11-01",https://open.spotify.com/track/4ofmSKnAYj295dE0klRGQx,Medium
"12120382831",37,Only One,Yellowcard,Ocean Avenue,"2003-01-01",https://open.spotify.com/track/0gZp88SA5OcujHLDGkxtI3,Medium
"12120382831",38,High School Never Ends - Main Version - Explicit,Bowling For Soup,The Great Burrito Extortion Case,"2006",https://open.spotify.com/track/1bhjMY5O0ZjB41OHcdRH0a,Medium
"12120382831",39,不能說的秘密,Jay Chou,不能說的‧秘密,"2007-08-10",https://open.spotify.com/track/5mktG3zst5SVxAiVHY4j6C,Medium
"12120382831",40,小幸運,Hebe Tien,小幸運,"2015-07-10",https://open.spotify.com/track/1ZeVIrCWzEmsJexkrgvjFv,Medium
"12120382831",41,Chasing Cars,Snow Patrol,Eyes Open,"2006-01-01",https://open.spotify.com/track/11bD1JtSjlIgKgZG2134DZ,Medium
"12120382831",42,髮如雪,Jay Chou,"11月的蕭邦","2005-11-01",https://open.spotify.com/track/1jEAOrekJF0h2Rvf6mpCLd,Medium
"12120382831",43,七里香,Jay Chou,七里香,"2004-08-03",https://open.spotify.com/track/3kwqNLXvsjSrIXbVsRBj8q,Medium
"12120382831",44,Fat Lip,Sum 41,"All Killer, No Filler","2001-01-01",https://open.spotify.com/track/4KacUpvbA3Mfo05gttTjhN,Medium
"12120382831",45,一路向北,Jay Chou,"11月的蕭邦","2005-11-01",https://open.spotify.com/track/31RIphTQ9y4zStkH5xRWgW,Medium
"12120382831",46,聽見下雨的聲音,Jay Chou,哎呦 不錯哦,"2014-12-26",https://open.spotify.com/track/0nt1LAZjaTjrf30S8hdRDU,Medium
"12120382831",3,Saw You in a Dream,The Japanese House,Saw You in a Dream,"2017-06-30",https://open.spotify.com/track/7dujOm8FJcepmVBQjqdswN,Short
"12120382831",4,Nikes,Frank Ocean,Blonde,"2016-08-20",https://open.spotify.com/track/19YKaevk2bce4odJkP5L22,Short
"12120382831",5,算什麼男人,Jay Chou,哎呦 不錯哦,"2014-12-26",https://open.spotify.com/track/7vs3JM90lKhp11av83WA5j,Short
"12120382831",6,千里之外,Jay Chou,依然范特西,"2006-09-05",https://open.spotify.com/track/02K5L2D21TVIINipDIPEfA,Short
"12120382831",7,明明就,Jay Chou,十二新作,"2012-12-28",https://open.spotify.com/track/04x6DpeFQ72efXsD0DmWPQ,Short
"12120382831",8,How to Disappear Completely,Radiohead,Kid A,"2000-10-02",https://open.spotify.com/track/2rtGaCAeYtmcIvuZsvgTf6,Short
"12120382831",9,七里香,Jay Chou,七里香,"2004-08-03",https://open.spotify.com/track/3kwqNLXvsjSrIXbVsRBj8q,Short
"12120382831",10,Disarm You (feat. Ilsey),Kaskade; Ilsey,Automatic,"2015-09-25",https://open.spotify.com/track/3xQjivjUZ4KnUslduTEYKC,Short
"12120382831",11,青花瓷,Jay Chou,我很忙,"2008-03-10",https://open.spotify.com/track/479lquEL4Mzh3tQLtnHVfL,Short
"12120382831",12,Harvest Moon,Handsome Ghost,Harvest Moon,"2018-01-05",https://open.spotify.com/track/4C9rhLT37Gv6VMVtFCb7O1,Short
"12120382831",13,彩虹,Jay Chou,我很忙,"2008-03-10",https://open.spotify.com/track/4KJx4IOvCU2isprmXio9Xk,Short
"12120382831",14,黑色毛衣,Jay Chou,"11月的蕭邦","2005-11-01",https://open.spotify.com/track/4MNuUPVgAALVneM0kughvi,Short
"12120382831",15,Fall for You (Acoustic),Secondhand Serenade,A Naked Twist in My Story,"2012",https://open.spotify.com/track/5V7mTIcXVU9k2JNu0mE6vy,Short
"12120382831",16,In Flames,Dabin; Lexi Norton,Pyres,"2018-03-30",https://open.spotify.com/track/5W8DSMQe7cbTtKTHY0yEnP,Short
"12120382831",17,Cold Water (feat. Justin Bieber & MØ),Major Lazer; Justin Bieber; MØ,Cold Water (feat. Justin Bieber & MØ),"2016-07-22",https://open.spotify.com/track/5x9uAWpQ0qj8V61xckw6TV,Short
"12120382831",18,"Tears in Heaven - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",Eric Clapton,Unplugged (Deluxe Edition),"1992-08-25",https://open.spotify.com/track/612VcBshQcy4mpB2utGc3H,Short
"12120382831",19,最長的電影,Jay Chou,我很忙,"2008-03-10",https://open.spotify.com/track/6C9w3NKP7yKqGLBP09iEL4,Short
"12120382831",20,Everybody Hurts,R.E.M.,Automatic For The People,"1992-10-05",https://open.spotify.com/track/6PypGyiu0Y2lCDBN1XZEnP,Short
"12120382831",21,Sweet,Cigarettes After Sex,Cigarettes After Sex,"2017-06-09",https://open.spotify.com/track/6ilc4vQcwMPlvAHFfsTGng,Short
